drug_a,drug_b,severity,mechanism,cyp_or_transporter,description
berberine,cyclosporine,Major,PK,CYP3A4,Berberine inhibits CYP3A4 → cyclosporine AUC -34% (Wei 2017)
berberine,warfarin,Major,PK,CYP2C9/3A4,Berberine increases warfarin INR via CYP inhibition
berberine,statins,Moderate,PK+PD,CYP3A4,Berberine + atorvastatin synergistic LDL ↓ but rhabdomyolysis risk ↑
EGCG,nadolol,Major,PK,OATP1A2,EGCG inhibits OATP1A2 → nadolol AUC -85%
EGCG,irinotecan,Major,PK,UGT1A1,EGCG strong UGT1A1 inhibitor → irinotecan toxicity ↑
EGCG,warfarin,Moderate,PK,vitamin_K,EGCG vitamin K antagonism — warfarin INR variation
baicalein,rosuvastatin,Moderate,PK,OATP1B1,Baicalein inhibits OATP1B1 → rosuvastatin AUC ↓
baicalein,methotrexate,Major,PK,BCRP,Baicalein BCRP inhibition → methotrexate clearance ↓
ginsenoside_Rb1,warfarin,Moderate,PK+PD,variable,Ginsenoside variable warfarin INR (Korean 인삼 + 와파린 alert)
ginsenoside_Rg1,imatinib,Moderate,PK,CYP3A4,Ginsenoside Rg1 + imatinib AUC variation
curcumin,tacrolimus,Moderate,PK,CYP3A4/P-gp,Curcumin P-gp + CYP3A4 inhibition → tacrolimus AUC ↑
curcumin,anticoagulants,Moderate,PD,platelet,Curcumin antiplatelet effect — bleeding risk +
emodin,warfarin,Moderate,PK,CYP2C9,Emodin (하수오) CYP2C9 inhibition → warfarin INR ↑
EMB-3,MMP_inhibitors,Minor,PD,additive,EMB-3 + Marimastat-class additive MMP-1 inhibition (in silico)
shikonin,anticoagulants,Moderate,PD,platelet,Shikonin antiplatelet — bleeding risk +
licochalcone_A,isotretinoin,Minor,PD,additive,Both anti-acne; potentiation of irritation in topical combination
asiaticoside,no_known_interactions,Minor,—,,Centella asiaticoside has favorable DDI profile
